country,total,beer,wine,spirits,other alcohols
Singapore,1.81,1.26,0.27,0.24,0.04
Slovakia,10.3,4.14,2.01,4.14,0.0
Slovenia,11.05,4.54,5.26,1.26,0.0
Solomon Islands,1.19,1.1,0.06,0.02,0.0
Somalia,0.0,0.0,0.0,0.0,0.0
South Korea,7.74,1.72,0.15,0.22,5.66
South Sudan,nan,nan,nan,nan,nan
Spain,10.72,4.67,3.52,2.34,0.19
Sri Lanka,2.58,0.22,0.01,2.32,0.03
Sudan,1.93,0.0,0.0,0.29,1.63
Suriname,6.6,3.4,0.14,2.87,0.18
Sweden,7.1,2.6,3.4,1.0,0.1
Switzerland,9.41,3.17,4.35,1.76,0.12
Syria,0.13,0.02,0.0,0.11,0.0
Tajikistan,0.85,0.38,0.01,0.45,0.0
Tanzania,7.81,0.74,0.09,0.38,6.6
Thailand,6.86,1.85,0.23,4.78,0.0
The Bahamas,9.48,3.66,1.43,4.08,0.31
The Gambia,2.67,0.21,0.0,0.02,2.44
Timor-Leste,0.41,0.27,0.09,0.05,0.0
Togo,1.4,0.78,0.09,0.2,0.33
Tonga,0.31,0.03,0.17,0.11,0.0
Trinidad and Tobago,5.81,2.92,0.16,2.65,0.09
Tunisia,1.51,0.99,0.32,0.17,0.03
Turkey,1.18,0.67,0.16,0.35,0.0
Turkmenistan,2.88,0.65,1.25,0.98,0.0
Tuvalu,0.93,0.01,0.69,0.22,0.0
Uganda,6.82,0.85,0.01,0.5,5.46
Ukraine,5.69,2.44,0.32,2.88,0.05
United Arab Emirates,2.03,0.21,0.14,1.65,0.02
United Kingdom,9.8,3.53,3.3,2.35,0.61
United States,8.93,3.97,1.67,3.29,0.0
Uruguay,5.42,1.86,2.86,0.71,0.0
Uzbekistan,2.45,0.18,0.09,2.19,0.0
Vanuatu,1.6,0.34,0.39,0.87,0.0
Venezuela,2.51,1.54,0.01,0.92,0.03
Vietnam,3.41,3.18,0.02,0.21,0.0
Yemen,0.02,0.02,0.0,0.0,0.0
Zambia,3.82,1.26,0.04,0.36,2.16
Zimbabwe,3.11,1.2,0.05,0.39,1.47
