country,total,male,female
United Kingdom,15.4,17.3,13.5
United States,23.0,28.4,17.5
Uruguay,21.5,24.4,18.5
Uzbekistan,17.6,34.0,1.1
Vanuatu,17.8,33.0,2.6
Venezuela,nan,nan,nan
Vietnam,24.8,47.4,2.2
Yemen,20.3,32.5,8.1
Zambia,14.4,25.1,3.7
Zimbabwe,11.7,21.8,1.5
