country,at birth,0-14 years,15-64 years,65 years and over,total population
Nigeria,1.06,1.04,1.01,0.88,1.02
North Korea,1.06,1.04,0.99,0.56,0.95
North Macedonia,1.07,1.07,1.03,0.79,0.99
Norway,1.05,1.05,1.06,0.88,1.02
Oman,1.05,1.05,1.24,0.88,1.16
Pakistan,1.05,1.04,1.05,0.87,1.04
Palau,1.07,1.07,1.24,0.33,1.06
Panama,1.06,1.05,1.02,0.87,1.01
Papua New Guinea,1.05,1.04,1.02,0.98,1.03
Paraguay,1.05,1.04,1.01,0.91,1.0
Peru,1.05,1.04,0.96,0.77,0.96
Philippines,1.05,1.04,1.02,0.66,1.0
Poland,1.06,1.06,1.01,0.68,0.94
Portugal,1.05,1.05,0.97,0.66,0.9
Qatar,1.02,1.02,4.32,1.92,3.34
Republic of the Congo,1.03,1.02,1.01,0.84,1.0
Romania,1.06,1.06,1.0,0.7,0.93
Russia,1.06,1.06,0.94,0.49,0.86
Rwanda,1.03,1.02,0.94,0.67,0.96
Saint Kitts and Nevis,1.02,1.01,1.02,0.91,1.0
Saint Lucia,1.06,1.06,0.94,0.83,0.94
Saint Vincent and the Grenadines,1.03,1.02,1.06,0.93,1.04
Samoa,1.05,1.07,1.04,0.8,1.03
San Marino,1.09,1.1,0.94,0.83,0.93
Sao Tome and Principe,1.03,1.03,0.99,0.75,1.0
Saudi Arabia,1.05,1.04,1.42,1.13,1.31
Senegal,1.05,1.04,0.93,0.77,0.97
Serbia,1.06,1.06,1.01,0.71,0.95
Seychelles,1.03,1.06,1.14,0.75,1.08
Sierra Leone,1.03,1.02,0.96,0.95,0.98
Singapore,1.05,1.07,1.01,0.86,1.0
Slovakia,1.07,1.06,1.01,0.67,0.94
Slovenia,1.04,1.05,1.09,0.78,1.0
Solomon Islands,1.05,1.06,1.05,0.89,1.04
Somalia,1.03,1.0,1.04,0.73,1.01
South Korea,1.05,1.05,1.07,0.78,1.01
South Sudan,1.05,1.04,1.04,1.25,1.05
Spain,1.05,1.05,1.0,0.76,0.95
Sri Lanka,1.04,1.04,0.97,0.72,0.95
Sudan,1.05,1.03,0.99,1.08,1.01
Suriname,1.07,1.03,1.0,0.7,0.98
Sweden,1.06,1.06,1.05,0.88,1.01
Switzerland,1.06,1.06,1.01,0.82,0.98
Syria,1.06,1.05,0.99,0.88,1.01
Tajikistan,1.05,1.04,0.99,0.71,0.99
Tanzania,1.03,1.02,1.0,0.74,1.0
Thailand,1.05,1.05,0.96,0.8,0.95
The Bahamas,1.03,1.03,0.98,0.65,0.95
The Gambia,1.03,1.02,0.97,0.79,0.98
Timor-Leste,1.07,1.06,0.96,0.93,0.99
Togo,1.03,1.03,0.96,0.71,0.97
Tonga,1.03,1.03,1.02,0.82,1.01
Trinidad and Tobago,1.04,1.04,1.03,0.87,1.01
Tunisia,1.06,1.06,0.97,0.9,0.98
Turkey,1.05,1.05,1.03,0.82,1.01
Turkmenistan,1.05,1.03,0.99,0.78,0.98
Tuvalu,1.05,1.05,1.01,0.58,0.98
Uganda,1.03,1.03,0.89,0.74,0.95
Ukraine,1.06,1.06,0.94,0.52,0.87
United Arab Emirates,1.06,1.05,2.52,3.15,2.16
United Kingdom,1.05,1.05,1.02,0.85,0.99
United States,1.05,1.04,1.0,0.81,0.97
Uruguay,1.04,1.04,0.98,0.68,0.94
Uzbekistan,1.06,1.05,1.0,0.76,0.99
Vanuatu,1.05,1.04,0.96,0.97,0.99
Venezuela,1.05,1.05,0.99,0.84,0.99
Vietnam,1.1,1.12,1.02,0.68,1.01
Yemen,1.05,1.04,1.02,0.79,1.02
Zambia,1.03,1.02,1.0,0.83,1.0
Zimbabwe,1.03,0.99,1.0,0.63,0.97
