name,slug,value,date_of_information,ranking,region
"Tajikistan","tajikistan","9,245,937","2023 est.","97","Central Asia"
"Israel","israel","9,043,387","2023 est.","98","Middle East"
"Austria","austria","8,940,860","2023 est.","99","Europe"
"Sierra Leone","sierra-leone","8,908,040","2023 est.","100","Africa"
"Togo","togo","8,703,961","2023 est.","101","Africa"
"Switzerland","switzerland","8,563,760","2023 est.","102","Europe"
"Laos","laos","7,852,377","2023 est.","103","East and Southeast Asia"
"Paraguay","paraguay","7,439,863","2023 est.","104","South America"
"Hong Kong","hong-kong","7,288,167","2023 est.","105","East and Southeast Asia"
"Libya","libya","7,252,573","2023 est.","106","Africa"
"Bulgaria","bulgaria","6,827,736","2023 est.","107","Europe"
"Serbia","serbia","6,693,375","2023 est.","108","Europe"
"El Salvador","el-salvador","6,602,370","2023 est.","109","Central America and the Caribbean"
"Nicaragua","nicaragua","6,359,689","2023 est.","110","Central America and the Caribbean"
"Eritrea","eritrea","6,274,796","2023 est.","111","Africa"
"Kyrgyzstan","kyrgyzstan","6,122,781","2023 est.","112","Central Asia"
"Singapore","singapore","5,975,383","2023 est.","113","East and Southeast Asia"
"Denmark","denmark","5,946,984","2023 est.","114","Europe"
"Turkmenistan","turkmenistan","5,690,818","2023 est.","115","Central Asia"
"Congo, Republic of the","congo-republic-of-the","5,677,493","2023 est.","116","Africa"
"Finland","finland","5,614,571","2023 est.","117","Europe"
"Norway","norway","5,597,924","2023 est.","118","Europe"
"Central African Republic","central-african-republic","5,552,228","2023 est.","119","Africa"
"Liberia","liberia","5,506,280","2023 est.","120","Africa"
"Slovakia","slovakia","5,425,319","2023 est.","121","Europe"
"Lebanon","lebanon","5,331,203","2023 est.","122","Middle East"
"Ireland","ireland","5,323,991","2023 est.","123","Europe"
"Costa Rica","costa-rica","5,256,612","2023 est.","124","Central America and the Caribbean"
"New Zealand","new-zealand","5,109,702","2023 est.","125","Australia and Oceania"
"Georgia","georgia","4,936,390","2023 est.","126","Middle East"
"Panama","panama","4,404,108","2023 est.","127","Central America and the Caribbean"
"Mauritania","mauritania","4,244,878","2023 est.","128","Africa"
"Croatia","croatia","4,169,239","2023 est.","129","Europe"
"Oman","oman","3,833,465","2023 est.","130","Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3,807,764","2023 est.","131","Europe"
"Uruguay","uruguay","3,416,264","2023 est.","132","South America"
"Mongolia","mongolia","3,255,468","2023 est.","133","East and Southeast Asia"
"Moldova","moldova","3,250,532","2023 est.","134","Europe"
"Kuwait","kuwait","3,103,580","2023 est.","135","Middle East"
"Albania","albania","3,101,621","2023 est.","136","Europe"
"Puerto Rico","puerto-rico","3,057,311","2023 est.","137","Central America and the Caribbean"
"West Bank","west-bank","3,050,760","2023 est.","138","Middle East"
"Armenia","armenia","2,989,091","2023 est.","139","Middle East"
"Jamaica","jamaica","2,820,982","2023 est.","140","Central America and the Caribbean"
