country,total population,male,female
Turkmenistan,72.11,69.1,75.26
Tuvalu,68.69,66.25,71.25
Uganda,69.32,67.08,71.62
Ukraine,73.72,69.1,78.64
United Arab Emirates,79.75,78.39,81.2
United Kingdom,82.05,80.01,84.21
United States,80.75,78.54,82.93
Uruguay,78.66,75.58,81.86
Uzbekistan,75.55,72.54,78.74
Vanuatu,75.4,73.72,77.17
Venezuela,74.25,71.19,77.45
Vietnam,75.79,73.22,78.62
Yemen,67.83,65.49,70.28
Zambia,66.6,64.88,68.36
Zimbabwe,63.79,61.65,66.0
